,tfidf
aiidy,0.0
aiiin,0.0
aiin,0.0
aiinqokeey,0.0
aiinsol,0.0
aiir,0.0
aiis,0.0
aikhy,0.0
ail,0.0
aim,0.0
ain,0.0
ainy,0.0
air,0.0
airchy,0.0
airody,0.0
aithy,0.0
akar,0.0
al,0.0
alaiiin,0.0
alaiin,0.0
alain,0.0
alal,0.0
alam,0.0
alar,0.0
alchedy,0.0
alchey,0.0
alchol,0.0
alchor,0.0
ald,0.0
aldaiin,0.0
aldar,0.0
aldy,0.0
alkaiin,0.0
alkain,0.0
alkar,0.0
alkedy,0.0
alkeedy,0.0
alkey,0.0
alo,0.0
alody,0.0
aloees,0.0
alol,0.0
alols,0.0
alor,0.0
alos,0.0
als,0.0
alshey,0.0
alshy,0.0
altchedy,0.0
aly,0.0
alysain,0.0
am,0.0
amdaiin,0.0
amsaiin,0.0
amsain,0.0
amy,0.0
amycheeo,0.0
amytaiin,0.0
an,0.0
ar,0.08599899045724171
araiin,0.0
arain,0.0
aral,0.0
aram,0.0
arar,0.0
arary,0.0
ariin,0.0
arl,0.0
arodl,0.0
arody,0.0
arol,0.0
aror,0.0
ary,0.0
arydshedy,0.0
aryy,0.0
as,0.0
cfhar,0.0
cfheol,0.0
cfhey,0.0
cfhol,0.10540430213240182
cfhy,0.0
ch,0.0
cha,0.0
chaiin,0.0
chain,0.0
chal,0.0
chalkar,0.0
chals,0.0
chaly,0.0
cham,0.0
chan,0.0
char,0.0
charain,0.0
charam,0.0
chary,0.0
chcfhhy,0.0
chcfhy,0.0
chchy,0.0
chckh,0.0
chckhaiin,0.0
chckhal,0.0
chckhd,0.0
chckhdy,0.0
chckhedy,0.0
chckheody,0.0
chckhey,0.0
chckhhy,0.0
chckhol,0.0
chckhy,0.0
chcphdy,0.0
chcphedy,0.0
chcphey,0.0
chcphhy,0.0
chcphy,0.0
chcth,0.0
chcthal,0.0
chcthdy,0.0
chcthedy,0.0
chcthey,0.0
chcthhy,0.0
chctho,0.0
chcthody,0.0
chcthy,0.0
chd,0.0
chdaiin,0.0
chdain,0.0
chdair,0.0
chdal,0.0
chdam,0.0
chdar,0.0
chdedy,0.0
chdol,0.0
chdor,0.0
chdy,0.05440639791191294
che,0.0
cheaiin,0.0
cheain,0.0
cheal,0.0
cheam,0.0
chean,0.0
chear,0.0696032733760998
chechey,0.0
checkhed,0.0
checkhey,0.0
checkhol,0.0
checkhy,0.0
checphey,0.0
checthedy,0.0
checthey,0.0
checthy,0.0
ched,0.0
chedaiin,0.0
chedain,0.0
chedal,0.0
chedam,0.0
chedar,0.0
chedo,0.0
chedol,0.0
chedor,0.0
chedy,0.0
chedypchedar,0.0
cheeaiin,0.0
cheeal,0.0
cheed,0.0
cheedaiin,0.0
cheedain,0.0
cheedar,0.0
cheedy,0.0
cheeey,0.0
cheef,0.0
cheekaiin,0.0
cheekain,0.0
cheekey,0.0
cheeky,0.0
cheen,0.0
cheeo,0.0
cheeod,0.0
cheeody,0.0
cheeol,0.0
cheeor,0.0
cheeos,0.0
cheer,0.0
chees,0.0
cheesy,0.0
cheeteey,0.0
cheety,0.0
cheey,0.0
chefchy,0.0
chek,0.0
chekaiin,0.0
chekain,0.0
chekal,0.0
chekar,0.0
chekchy,0.0
chekedy,0.0
chekeedy,0.0
chekeey,0.0
chekeol,0.0
chekey,0.0
chekol,0.0
cheky,0.0
cheo,0.0
cheoaiin,0.0
cheoar,0.0
cheockhey,0.0
cheockhy,0.0
cheocthy,0.0
cheod,0.0
cheodaiin,0.0
cheodain,0.0
cheodal,0.0
cheodar,0.0
cheodor,0.0
cheody,0.0
cheok,0.0
cheokaiin,0.0
cheokain,0.0
cheokal,0.0
cheokedy,0.0
cheokeeo,0.0
cheokeey,0.0
cheokeol,0.0
cheokey,0.0
cheoky,0.0
cheol,0.0
cheoldy,0.0
cheolor,0.0
cheols,0.0
cheoly,0.0
cheom,0.0
cheor,0.0
cheory,0.0
cheos,0.0
cheotey,0.0
cheotol,0.0
cheoty,0.0
cheoy,0.0
chep,0.0
chepar,0.0
chepchedy,0.0
chepchey,0.0
chepchy,0.0
chepy,0.0
cher,0.0
ches,0.0
chesy,0.0
chetaiin,0.0
chetain,0.0
chetar,0.0
chetchy,0.0
chetedy,0.0
cheteey,0.0
chetey,0.0
chetody,0.0
chety,0.0
chey,0.07976757960646068
cheyky,0.0
chkaiin,0.0
chkain,0.0
chkal,0.0
chkaly,0.0
chkar,0.0
chkchol,0.0
chkchy,0.0
chkedy,0.0
chkeey,0.0
chkey,0.0
chkol,0.0
chkoldy,0.0
chky,0.0
chl,0.0
chls,0.0
cho,0.0
choaiin,0.0
choar,0.0
chochy,0.0
chockhey,0.0
chockhy,0.0
chocthey,0.0
chocthy,0.0859310544276041
chod,0.0
chodaiin,0.06887841591524062
chodain,0.10540430213240182
chodair,0.0
chodal,0.0
chodaly,0.0
chodar,0.0
chodchy,0.0
chodo,0.0
chodol,0.0
chodr,0.0
chody,0.0
chofchy,0.0
choiin,0.0
choikhy,0.0
chok,0.11333024508296395
chokaiin,0.0
chokain,0.09475733660186039
chokal,0.0
chokaly,0.0
chokam,0.0
chokar,0.0
chokchey,0.0
chokcho,0.0
chokchol,0.0
chokchy,0.0
chokedy,0.0
chokeedy,0.0
chokeeey,0.0
chokeeody,0.0
chokeey,0.0
chokeody,0.0
chokeol,0.0
chokey,0.0
chokody,0.0
chokol,0.0
chokor,0.0
choky,0.0
chol,0.26822242062880824
cholaiin,0.0
cholal,0.0
cholchedy,0.0
choldy,0.0
cholkaiin,0.0
cholkal,0.0
cholkeedy,0.0
cholkeeey,0.0
cholky,0.0
cholo,0.0
cholody,0.0
cholols,0.0
cholor,0.0
chols,0.0
choly,0.0
cholydaiin,0.0
chom,0.0
chool,0.0
choor,0.0
chop,0.0
chopchedy,0.0
chopchey,0.0
chopchy,0.0
chopy,0.0
chor,0.12155286599909619
choraiin,0.0
chorol,0.0
choror,0.0
chory,0.0
chos,0.0
chosaiin,0.0
chot,0.0
chotaiin,0.0
chotain,0.0
chotal,0.0
chotam,0.0
chotar,0.0
chotchey,0.0
chotchy,0.0
chotedy,0.0
choteey,0.0
choteol,0.0
chotey,0.0
choto,0.0
chotol,0.0
chotom,0.0
chotor,0.0
chotshol,0.0
choty,0.07449442807001895
choy,0.0
chpal,0.0
chpchy,0.0
chpor,0.0
chr,0.0
chs,0.0
chsdy,0.0
chsey,0.0
chshy,0.0
chso,0.0
chtaiin,0.11333024508296395
chtain,0.0
chtal,0.0
chtar,0.0
chtedy,0.0
chteey,0.0
chtol,0.0
chtor,0.12536325794700154
chty,0.0
chy,0.08744870537896006
chykchy,0.0
chykey,0.0
chyky,0.0
chyty,0.0
ckhaiin,0.0
ckhal,0.0
ckham,0.0
ckhar,0.1185866165306127
ckhdy,0.0
ckhedy,0.0
ckheey,0.0
ckheo,0.0
ckheody,0.0
ckheol,0.0
ckheos,0.0
ckhey,0.07842955555035609
ckhhy,0.0
ckho,0.0
ckhody,0.0
ckhol,0.0
ckhor,0.0
ckhos,0.0
ckhy,0.0
ckhyor,0.0
cky,0.0
cphaiin,0.0
cphar,0.11333024508296395
cpheckhy,0.0
cphedy,0.0
cpheo,0.0
cpheody,0.0
cpheol,0.0
cpheor,0.0
cphey,0.0
cphoal,0.0
cphol,0.0
cphor,0.0
cphy,0.08907652108089752
cs,0.0
csedy,0.0
cseeky,0.0
cseey,0.0
ctchy,0.0
cth,0.10903547689549722
cthaiin,0.09475733660186039
cthain,0.0
cthal,0.10540430213240182
cthar,0.17815304216179503
cthdy,0.0
cthedy,0.0
ctheey,0.0
ctheod,0.0
ctheody,0.0
ctheol,0.0
ctheor,0.0
cthes,0.1185866165306127
cthey,0.06434690192845104
cthhy,0.0
ctho,0.0
cthod,0.0
cthodal,0.0
cthody,0.0
cthoiin,0.0
cthol,0.06434690192845104
ctholy,0.0
cthom,0.0
cthor,0.0
cthy,0.1705362091536091
cthyycheor,0.0
cto,0.0
cty,0.0
cy,0.0
da,0.0
dady,0.0
daiidy,0.0
daiiin,0.0
daiim,0.0
daiin,0.1141099089011727
daiindaiin,0.0
daiindchor,0.0
daiindor,0.0
daiindsho,0.0
daiinqokcho,0.0
daiinqotar,0.0
daiinqotchy,0.0
daiinqotol,0.0
daiinsho,0.0
daiinykcho,0.0
daiir,0.0
daiis,0.0
dail,0.0
daim,0.0
dain,0.1956778404025636
daino,0.0
dainqotor,0.0
dair,0.0
dairair,0.0
dairal,0.0
dairar,0.0
dairo,0.0
dairody,0.0
dais,0.0
dal,0.043480246787378427
dalaiin,0.0
dalal,0.0
dalar,0.0
dalchdy,0.0
dalchedy,0.0
dalchy,0.0
daldaiin,0.0
daldy,0.0
dalkar,0.0
dalkedy,0.0
dalol,0.0
dalor,0.0
dalqokedy,0.0
dals,0.0
dalshdy,0.0
daly,0.0
dam,0.0
damol,0.0
damtor,0.0
damycheo,0.0
dan,0.10540430213240182
dar,0.08018635585276923
daraiin,0.12536325794700154
daram,0.0
dardaiin,0.0
dardar,0.0
daror,0.0
daroteey,0.0
dary,0.0
darychol,0.0
das,0.0
dchar,0.0
dchckhy,0.0
dchdy,0.0
dchedy,0.0
dcheey,0.0
dcheoky,0.0
dcheol,0.0
dchey,0.0
dcho,0.0
dchol,0.0
dchor,0.0
dchy,0.0
ddain,0.12536325794700154
ddy,0.0
deey,0.0
dkain,0.0
dkedy,0.0
dkshey,0.0
dl,0.0
do,0.0
doaiin,0.0
dody,0.0
doiiin,0.0
doiin,0.0
doiir,0.0
doin,0.12536325794700154
dol,0.0
dolchey,0.0
doldy,0.0
dolor,0.0
dolshedy,0.0
dom,0.0
dor,0.06618336468160962
doroiin,0.0
dory,0.0
dpchy,0.0
ds,0.0
dsh,0.0
dshedy,0.0
dsheedy,0.0
dsheor,0.0
dshey,0.0
dsho,0.0
dshor,0.0
dshy,0.0
dy,0.0
dychedy,0.0
dydaiin,0.0
dydain,0.0
dydy,0.0
dydydy,0.0
dykaiin,0.0
dykedy,0.0
dykeedy,0.0
dyky,0.0
dyoaiin,0.0
dysol,0.0
dysor,0.0
dytchdy,0.0
dytchy,0.0
dytedy,0.0
dyty,0.0
ear,0.0
eedy,0.0
eeedy,0.0
eees,0.0
eeey,0.0
eeol,0.0
eeor,0.0
ees,0.0
eey,0.0
ekey,0.0
eo,0.12536325794700154
epaiin,0.0
ety,0.0
far,0.1185866165306127
fchdy,0.0
fchedy,0.0
fcheey,0.0
fcheody,0.0
fchodaiin,0.0
fchol,0.0
fcholdy,0.0
fchor,0.0
foar,0.0
fol,0.0
iiin,0.0
iir,0.0
in,0.0
kaiiin,0.0
kaiin,0.12869380385690207
kain,0.0
kair,0.09475733660186039
kais,0.0
kal,0.0
kaldy,0.0
kalkal,0.0
kaly,0.0
kam,0.0
kan,0.0
kar,0.0
karar,0.0
karody,0.0
kary,0.0
kas,0.0
kchaiin,0.0
kchar,0.0
kchdy,0.0
kchedy,0.0
kcheeor,0.0
kcheey,0.0
kcheo,0.0
kcheodaiin,0.0
kcheody,0.0
kcheol,0.0
kcheor,0.0
kchey,0.0
kcho,0.0
kchod,0.0
kchody,0.0
kchol,0.0
kchor,0.0
kchos,0.0
kchoy,0.0
kchs,0.0
kchy,0.07637991479248862
kechdy,0.0
kechedy,0.0
kechy,0.0
kedar,0.0
kedy,0.0
keear,0.0
keechy,0.0
keed,0.0
keedain,0.0
keedal,0.0
keedy,0.0
keeedy,0.0
keeeol,0.0
keeey,0.0
keeo,0.0
keeod,0.0
keeody,0.0
keeol,0.0
keeor,0.0
keeos,0.0
keey,0.12988657686980698
keo,0.0
keodaiin,0.0
keody,0.0
keol,0.0
keor,0.0
keoy,0.0
key,0.0
kl,0.0
koaiin,0.0
kody,0.0
koiin,0.0
kokaiin,0.12536325794700154
kol,0.06887841591524062
koldy,0.0
koly,0.0
kooiin,0.0
kor,0.16134936595991067
korchy,0.0
koshey,0.12536325794700154
kshar,0.0
kshd,0.0
kshdy,0.0
kshedy,0.0
ksheeol,0.0
ksheey,0.0
ksheo,0.0
ksheody,0.0
kshey,0.0
ksho,0.0
kshody,0.0
kshol,0.0
kshy,0.11333024508296395
ky,0.0
laiiin,0.0
laiin,0.0
lain,0.0
lal,0.0
lar,0.0
lch,0.0
lchal,0.0
lchdain,0.0
lchdy,0.0
lcheckhy,0.0
lched,0.0
lchedar,0.0
lchedy,0.0
lcheedy,0.0
lchees,0.0
lcheey,0.0
lcheo,0.0
lcheody,0.0
lcheol,0.0
lcheor,0.0
lchey,0.0
lcho,0.0
lchody,0.0
lchol,0.0
lchor,0.0
lchs,0.0
lchy,0.0
ld,0.0
ldaiin,0.0
ldar,0.0
ldy,0.0
ldyqokeey,0.0
lfchedy,0.0
lfchy,0.0
lkaiin,0.0
lkaiir,0.0
lkain,0.0
lkair,0.0
lkal,0.0
lkar,0.0
lkchdy,0.0
lkchedy,0.0
lkcheo,0.0
lkches,0.0
lkchey,0.0
lkeal,0.0
lkechedy,0.0
lkechey,0.0
lkedain,0.0
lkedal,0.0
lkedy,0.0
lkeed,0.0
lkeedy,0.0
lkeeedy,0.0
lkeeey,0.0
lkeeo,0.0
lkeeody,0.0
lkeeol,0.0
lkeeor,0.0
lkeey,0.0
lkeo,0.0
lkeody,0.0
lkeol,0.0
lkey,0.0
lkl,0.0
lko,0.0
lkol,0.0
lkor,0.0
lkshedy,0.0
lkshey,0.0
lky,0.0
lo,0.0
lody,0.0
loeees,0.0
loeey,0.0
loiiin,0.0
loiin,0.0
lokeedy,0.0
lokeey,0.0
lol,0.0
loldy,0.0
loly,0.0
lor,0.0
los,0.0
loy,0.0
lpchdy,0.0
lpchedy,0.0
lr,0.0
ls,0.0
lsaiin,0.0
lshdy,0.0
lsheckhy,0.0
lshed,0.0
lshedy,0.0
lsheedy,0.0
lsheey,0.0
lsheol,0.0
lshety,0.0
lshey,0.0
lshy,0.0
ltal,0.0
ltedy,0.0
lteedy,0.0
lteey,0.0
ly,0.0
lyqokain,0.0
oaiin,0.0
oaiir,0.0
oain,0.0
oair,0.0
oal,0.0
oar,0.0
ochar,0.0
ochedy,0.0
ocheey,0.0
ochey,0.0
ochor,0.0
ochy,0.0
ockhedy,0.0
ockhey,0.0
ockhy,0.0
octhedy,0.0
octheody,0.0
octheol,0.0
octhey,0.0
octhody,0.0
octhy,0.0
od,0.0
odaiiin,0.0
odaiin,0.06376524253016927
odaiir,0.0
odain,0.0
odair,0.0
odal,0.0
odar,0.0
odeedy,0.0
odeey,0.0
odl,0.0
odor,0.0
ody,0.0
odydaiin,0.0
oedy,0.0
oeear,0.0
oeedaiin,0.0
oeedy,0.0
oeees,0.0
oeeos,0.0
oees,0.0
oeey,0.0
oekaiin,0.0
oekeody,0.0
ofaiin,0.0
ofal,0.0
ofar,0.0
ofchdy,0.0
ofchedy,0.0
ofchey,0.0
ofchor,0.0
ofchy,0.0
ofor,0.0
ofy,0.0
oiiin,0.0
oiin,0.07449442807001895
oiir,0.0
oikhy,0.0
oin,0.0
oir,0.0
oithy,0.0
ok,0.0
okaiiin,0.0
okaiin,0.0
okaiir,0.10540430213240182
okain,0.06105466839070357
okair,0.0
okal,0.0
okalaiin,0.0
okalal,0.0
okalar,0.0
okalchedy,0.0
okaldar,0.0
okaldy,0.0
okalody,0.0
okalol,0.0
okalor,0.0
okaly,0.0
okam,0.0
okan,0.1185866165306127
okar,0.0
okaral,0.0
okardy,0.0
okary,0.0
okas,0.0
okay,0.12536325794700154
okchaiin,0.0
okchal,0.0
okchar,0.0
okchd,0.0
okchdal,0.0
okchdar,0.0
okchdy,0.0
okchedy,0.0
okcheey,0.0
okcheo,0.0
okchey,0.15685911110071218
okcho,0.0
okchody,0.0
okchol,0.0
okchor,0.0
okchy,0.0
okeaiin,0.0
okeal,0.0
okear,0.0
okechdy,0.0
okechedy,0.0
okechy,0.0
oked,0.0
okedaiin,0.0
okedain,0.0
okedal,0.0
okedar,0.0
okedor,0.0
okedy,0.0
okeeal,0.0
okeear,0.0
okeed,0.0
okeedal,0.0
okeedaly,0.0
okeedar,0.0
okeedy,0.0
okeedyqokeedy,0.0
okeeedy,0.0
okeeeo,0.0
okeeey,0.0
okeeo,0.0
okeeody,0.0
okeeol,0.0
okeeor,0.0
okeeos,0.0
okeeoy,0.0
okees,0.0
okeeshy,0.0
okeey,0.0
okeo,0.0
okeodal,0.0
okeodaly,0.0
okeody,0.0
okeol,0.0
okeolor,0.0
okeoly,0.0
okeom,0.0
okeor,0.0
okeos,0.0
okeosar,0.0
okeoy,0.0
okes,0.0
okeshy,0.0
