,tfidf
okey,0.0
oko,0.0
okoaiin,0.0
okochey,0.0
okod,0.0
okody,0.0
okoey,0.0
okoiin,0.0
okol,0.05771794757108039
okolchey,0.0
okolchy,0.0
okoldy,0.0
okolor,0.0
okoly,0.0
okom,0.0
okor,0.0
okos,0.0
okoy,0.0
okshedy,0.0
okshey,0.0
oksho,0.0
okshy,0.0
oky,0.056420958977888916
okyol,0.0
okysaiin,0.0
okyy,0.0
ol,0.0
olaiin,0.0
olaiir,0.0
olain,0.0
olal,0.0
olalor,0.0
olar,0.0
olchdy,0.0
olchear,0.0
olched,0.0
olchedy,0.0
olcheedy,0.0
olcheey,0.0
olcheody,0.0
olcheol,0.0
olcheor,0.0
olchey,0.0
olchor,0.0
olchy,0.0
old,0.0
oldaiin,0.0
oldal,0.0
oldar,0.0
oldor,0.0
oldy,0.0
oleedy,0.0
oleeedy,0.0
oleees,0.0
oleeey,0.0
olfchedy,0.0
olfchey,0.0
olkaiin,0.0
olkain,0.0
olkair,0.0
olkal,0.0
olkaly,0.0
olkam,0.0
olkar,0.0
olkchdy,0.0
olkchedy,0.0
olkchey,0.0
olkchy,0.0
olkechy,0.0
olkedaiin,0.0
olkedy,0.0
olkeechy,0.0
olkeedy,0.0
olkeeedy,0.0
olkeeey,0.0
olkeeo,0.0
olkeeody,0.0
olkeeor,0.0
olkeey,0.0
olkeody,0.0
olkeol,0.0
olkey,0.0
olkol,0.0
olkor,0.0
olky,0.0
oll,0.0
olo,0.0
oloiin,0.0
olol,0.0
ololdy,0.0
olols,0.0
olor,0.0
olorpol,0.0
olos,0.0
olpchedy,0.0
olpchey,0.0
olqokal,0.0
olqokeedy,0.0
olr,0.0
ols,0.0
olsaiin,0.0
olshdy,0.0
olshed,0.0
olshedy,0.0
olsheey,0.0
olshey,0.0
olsho,0.0
olshy,0.0
oltaiin,0.0
oltain,0.0
oltal,0.0
oltar,0.0
oltchey,0.0
oltchy,0.0
oltedy,0.0
olteedy,0.0
olteody,0.0
oltshey,0.0
oly,0.0
olydaiin,0.0
olyqol,0.0
olysain,0.0
olysar,0.0
om,0.0
oor,0.0
opaiin,0.0
opain,0.0
opair,0.0
opal,0.0
opalkaiin,0.0
opar,0.0
opchal,0.0
opchar,0.0
opchdy,0.0
opchear,0.0
opched,0.0
opchedaiin,0.0
opchedy,0.0
opcheedy,0.0
opcheey,0.0
opcheody,0.0
opcheol,0.0
opches,0.0
opchey,0.0
opchol,0.0
opcholor,0.0
opchor,0.0
opchsd,0.0
opchy,0.0
opdaiin,0.0
opol,0.0
opor,0.0
oporaiin,0.0
opshedy,0.0
opy,0.0
opydaiin,0.0
opydy,0.0
oqol,0.0
or,0.12027953377915383
oraiiin,0.0
oraiin,0.0
orain,0.0
orair,0.0
oral,0.0
orar,0.0
orchcthy,0.0
orchedy,0.0
orchey,0.0
ordaiin,0.0
orol,0.0
orpol,0.0
ory,0.0
os,0.07449442807001895
osaiin,0.0
osain,0.0
osal,0.0
oshedy,0.0
oshey,0.0
ot,0.0
ota,0.0
otaiin,0.0529102755708659
otaiir,0.0
otain,0.0
otair,0.0
otairor,0.0
otais,0.0
otal,0.0
otalaiin,0.0
otalal,0.0
otalar,0.0
otaldy,0.0
otalor,0.0
otalshedy,0.0
otaly,0.0
otam,0.0
otamsain,0.0
otan,0.0
otar,0.0
otarar,0.0
otary,0.0
otas,0.0
otchal,0.0
otcham,0.0
otchar,0.0
otchdal,0.0
otchdy,0.0
otchedy,0.0
otcheey,0.0
otcheor,0.0
otches,0.0
otchey,0.0
otcho,0.0
otchod,0.0
otchodar,0.0
otchody,0.0
otchoky,0.0
otchol,0.08067468297995534
otchor,0.0
otchos,0.0
otchy,0.0
otdy,0.0
ote,0.0
oteal,0.0
otear,0.0
otechdy,0.0
otechy,0.0
otedaiin,0.0
otedain,0.0
otedal,0.0
otedar,0.0
otedol,0.0
otedy,0.0
oteeal,0.0
oteed,0.0
oteedain,0.0
oteedal,0.0
oteedar,0.0
oteedy,0.0
oteeedy,0.0
oteees,0.0
oteeey,0.0
oteeo,0.0
oteeoaly,0.0
oteeody,0.0
oteeol,0.0
oteeor,0.0
oteeos,0.0
otees,0.0
oteey,0.055191670919487554
oteo,0.0
oteodaiin,0.0
oteodal,0.0
oteodar,0.0
oteody,0.0
oteol,0.07035114599145395
oteoldy,0.0
oteor,0.0
oteos,0.08315655620887746
oteotey,0.0
otes,0.0
otey,0.0
oto,0.0
otoaiin,0.0
otoar,0.0
otodaiin,0.0
otodal,0.0
otodar,0.0
otody,0.0
otoiin,0.0
otol,0.0
otoldy,0.0
otolol,0.0
otoly,0.0
otor,0.0
otos,0.0
otshdy,0.0
otshedy,0.0
otshey,0.0
otshy,0.0
oty,0.0
oy,0.0
paiin,0.0
par,0.0
pchdar,0.0
pchdol,0.0
pchdy,0.0
pchedain,0.0
pchedal,0.0
pchedar,0.0
pchedy,0.0
pcheey,0.0
pcheodar,0.0
pcheody,0.0
pcheol,0.0
pchey,0.0
pchodaiin,0.0
pchodar,0.0
pchodol,0.0
pchody,0.0
pchol,0.0
pcholy,0.0
pchor,0.0
pchy,0.0
podaiin,0.0
podair,0.0
pol,0.0
polchedy,0.0
por,0.0
pshedy,0.0
pshol,0.12536325794700154
py,0.0
qaiin,0.0
qckhy,0.0
qcthey,0.0
qcthhy,0.0
qcthy,0.0
qeedar,0.0
qeeedy,0.0
qeeey,0.0
qeey,0.0
qekaiin,0.0
qekchdy,0.0
qekeey,0.0
qetal,0.0
qety,0.0
qkeody,0.0
qo,0.0
qoaiin,0.0
qoain,0.0
qoair,0.0
qoal,0.0
qoar,0.0
qochedy,0.0
qocheey,0.0
qochey,0.0
qochy,0.0
qockhedy,0.0
qockheey,0.0
qockheol,0.0
qockhey,0.0
qockhol,0.0
qockhy,0.0
qocphdy,0.0
qocphy,0.0
qocthedy,0.0
qocthey,0.0
qocthy,0.0
qod,0.0
qodaiiin,0.0
qodaiin,0.0
qodain,0.0
qodair,0.0
qodal,0.0
qodam,0.0
qodar,0.0
qodeedy,0.0
qodeey,0.0
qodor,0.0
qody,0.0
qoear,0.0
qoedaiin,0.0
qoedy,0.0
qoeedaiin,0.0
qoeedy,0.0
qoeeedy,0.0
qoeees,0.0
qoeeey,0.0
qoeeo,0.0
qoeeody,0.0
qoeeol,0.0
qoeeor,0.0
qoeey,0.0
qoekedy,0.0
qoekeey,0.0
qoeol,0.0
qoeor,0.0
qofair,0.0
qofchdy,0.0
qofchedy,0.0
qofcheol,0.0
qofol,0.0
qoiiin,0.0
qoiin,0.0
qok,0.0
qokaiin,0.0
qokaiir,0.0
qokain,0.0
qokair,0.0
qokairor,0.0
qokal,0.0
qokaldy,0.0
qokalor,0.0
qokalsaiin,0.0
qokaly,0.0
qokam,0.0
qokamsar,0.0
qokan,0.0
qokar,0.0
qokas,0.0
qokchd,0.0
qokchdy,0.0
qokchedy,0.0
qokcheedy,0.0
qokcheey,0.0
qokcheody,0.0
qokcheor,0.0
qokchey,0.0
qokcho,0.0
qokchod,0.0
qokchody,0.0
qokchol,0.0
qokchor,0.0
qokchy,0.0
qokdy,0.0
qokeain,0.0
qokeal,0.0
qokear,0.0
qokechdy,0.0
qokechedy,0.0
qokechy,0.0
qoked,0.0
qokedaiin,0.0
qokedain,0.0
qokedal,0.0
qokedar,0.0
qokedy,0.0
qokedydair,0.0
qokeechy,0.0
qokeed,0.0
qokeedain,0.0
qokeedal,0.0
qokeedar,0.0
qokeedy,0.0
qokeeedy,0.0
qokeees,0.0
qokeeey,0.0
qokeeo,0.0
qokeeod,0.0
qokeeody,0.0
qokeeol,0.0
qokeeor,0.0
qokeeos,0.0
qokees,0.0
qokeey,0.0
qokeo,0.0
qokeochy,0.0
qokeod,0.0
qokeodal,0.0
qokeody,0.0
qokeol,0.0
qokeor,0.0
qokeos,0.0
qokey,0.0
qokiir,0.0
qokl,0.0
qoko,0.0
qokod,0.0
qokody,0.0
qokoiiin,0.0
qokoiin,0.0
qokol,0.0
qokor,0.0
qokshd,0.0
qokshdy,0.0
qokshedy,0.0
qokshey,0.0
qokshy,0.0
qoky,0.0
qokysol,0.0
qokytchedy,0.0
qol,0.0
qolaiin,0.0
qolain,0.0
qolal,0.0
qolar,0.0
qolchedy,0.0
qolcheedy,0.0
qolchey,0.0
qolkaiin,0.0
qolkain,0.0
qolkeedy,0.0
qolkeey,0.0
qolky,0.0
qolshedy,0.0
qolsheedy,0.0
qolshey,0.0
qoly,0.0
qool,0.0
qoor,0.0
qoos,0.0
qop,0.0
qopaiin,0.0
qopal,0.0
qopar,0.0
qopchar,0.0
qopchdy,0.0
qopchedy,0.0
qopcheedy,0.0
qopcheey,0.0
qopcheody,0.0
qopchey,0.0
qopchol,0.0
qopchor,0.0
qopchy,0.0
qopol,0.0
qopor,0.0
qopshedy,0.0
qopy,0.0
qor,0.0
qorain,0.0
qos,0.0
qosaiin,0.0
qot,0.0
qotaiin,0.0
qotaiindshedy,0.0
qotain,0.0
qotair,0.0
qotal,0.0
qotaly,0.0
qotam,0.0
qotar,0.0
qotas,0.0
qotchar,0.0
qotchd,0.0
qotchdy,0.0
qotched,0.0
qotchedar,0.0
qotchedy,0.0
qotcheedy,0.0
qotcheo,0.0
qotcheol,0.0
qotchey,0.0
qotcho,0.0
qotchody,0.0
qotchol,0.0
qotchor,0.0
qotchy,0.0
qotear,0.0
qotechy,0.0
qoted,0.0
qotedaiin,0.0
qotedal,0.0
qotedar,0.0
qotedor,0.0
qotedy,0.0
qoteed,0.0
qoteedar,0.0
qoteedy,0.0
qoteeedy,0.0
qoteeey,0.0
qoteeo,0.0
qoteeody,0.0
qoteeol,0.0
qoteeos,0.0
qotees,0.0
qoteey,0.0
qoteo,0.0
qoteody,0.0
qoteol,0.0
qoteor,0.0
qotey,0.0
qotl,0.0
qoto,0.0
qotod,0.0
qotody,0.0
qotol,0.0
qotolcheo,0.0
qotor,0.0
qotoy,0.0
qotshdy,0.0
qotshedy,0.0
qotsheod,0.0
qotshey,0.0
qotshy,0.0
qoty,0.0
qotydaiin,0.0
qotyshey,0.0
qoy,0.0
qy,0.0
ra,0.0
raiin,0.0
rain,0.0
rair,0.0
ral,0.0
raly,0.0
rar,0.0
raraiin,0.0
rchedy,0.0
rcheey,0.0
rcheky,0.0
rchey,0.0
rchs,0.0
rchy,0.1185866165306127
ro,0.10903547689549722
rody,0.0
roiin,0.0
rol,0.0
ror,0.0
rorol,0.0
rshedy,0.0
rsheedy,0.0
rshey,0.0
ry,0.0
sa,0.0
saiin,0.0
saiindaiin,0.0
saiir,0.0
sain,0.0
sair,0.0
sal,0.0
saly,0.0
samoain,0.0
san,0.0
sar,0.0
saral,0.0
sarar,0.0
sary,0.0
schdy,0.0
scheey,0.0
scheo,0.0
scheol,0.0
sches,0.0
schey,0.0
schody,0.0
schol,0.0
schy,0.0
sh,0.0
shaiin,0.08315655620887746
shaikhy,0.0
shain,0.0
shal,0.0
shan,0.0
shar,0.07449442807001895
shchey,0.0
shchy,0.0
shckhdy,0.0
shckhedy,0.0
shckhey,0.09082220912152325
shckhhy,0.0
shckhy,0.0
shcphhy,0.0
shcphy,0.0
shcthey,0.0
shcthhy,0.0
shcthy,0.0
shd,0.0
shdair,0.0
shdal,0.0
shdar,0.0
shdy,0.0
she,0.15083662306461318
sheaiin,0.0
sheain,0.0
sheal,0.0
shear,0.08450298030552608
shechy,0.0
sheckhal,0.0
sheckhedy,0.0
sheckhey,0.0
sheckhy,0.0
shecphy,0.0
shecthy,0.0
shed,0.0
shedaiin,0.0
shedain,0.0
shedal,0.0
shedar,0.0
shedy,0.0
shedyqokeedy,0.0
shee,0.0
sheear,0.0
sheeckhy,0.0
sheed,0.0
sheedo,0.0
sheedy,0.0
sheeeky,0.0
sheees,0.0
sheeey,0.0
sheek,0.0
sheekar,0.0
sheekchy,0.0
sheeky,0.0
sheeo,0.0
sheeody,0.0
sheeol,0.0
sheeor,0.0
shees,0.0
sheet,0.0
sheetey,0.0
sheety,0.0
sheey,0.0
shefchdy,0.0
shek,0.0
shekaiin,0.0
shekain,0.0
shekal,0.0
shekchy,0.0
shekedy,0.0
shekeey,0.0
shekey,0.0
shekshey,0.0
sheky,0.07541831153230659
sheo,0.06434690192845104
sheockhey,0.0
sheockhy,0.0
sheocphy,0.0
sheocthy,0.0
sheod,0.0
sheodaiin,0.0
sheodal,0.0
sheodaly,0.0
sheody,0.0
sheokaiin,0.0
sheokeey,0.0
sheokey,0.0
sheoky,0.0
sheol,0.0
sheoldy,0.0
sheolol,0.0
sheols,0.0
sheoltey,0.0
sheom,0.0
sheor,0.0
sheos,0.0
sheot,0.0
sheoy,0.0
shepchy,0.0
sher,0.0
shes,0.0
shetchy,0.0
shetey,0.0
shety,0.0
shey,0.13044074036213527
sheyr,0.0
shkaiin,0.0
shkain,0.0
shkair,0.0
shkar,0.0
shkchedy,0.0
shkchy,0.0
shkeeo,0.0
shkeey,0.0
shkeody,0.0
shkol,0.0
shky,0.0
shl,0.0
shldy,0.0
sho,0.05116458753024016
shoaiin,0.11333024508296395
shocfhy,0.0
shockhy,0.0
shocthy,0.0
shod,0.09948433726038176
shodaiin,0.0
shodain,0.11333024508296395
shodal,0.0
shodol,0.0
shody,0.13775683183048124
shoiin,0.0
shoikhy,0.0
shok,0.0
shokaiin,0.0
shokal,0.0
shokar,0.0
shokchy,0.0
shokeey,0.0
shokey,0.0
shokol,0.0
shoky,0.0
shol,0.08647728915935607
sholdy,0.0
sholy,0.0
shom,0.0
shopchey,0.0
shopcho,0.0
shopchy,0.0
shor,0.0
shory,0.12536325794700154
shos,0.10903547689549722
shosaiin,0.0
shot,0.0
shotaiin,0.0
shoteeody,0.0
shotol,0.0
shoty,0.0
shr,0.0
shs,0.0
shsdy,0.0
shtal,0.0
shtchy,0.0
shtshy,0.0
shty,0.0
shy,0.0
shytchy,0.0
skaiin,0.0
so,0.0
soar,0.0
sody,0.0
soiiin,0.0
soiin,0.0
sokeey,0.0
sol,0.0
solkaiin,0.0
sols,0.0
solshedy,0.0
soly,0.0
sor,0.0
sos,0.0
sotey,0.0
sqokedy,0.0
sy,0.0
sychol,0.0
sydshedy,0.0
sykchy,0.0
sysaiin,0.0
syycheol,0.0
taiin,0.0
tain,0.0
tair,0.0
tal,0.0
tam,0.0
tar,0.0
tarodaiin,0.0
tarol,0.0
tchar,0.0
tchdy,0.0
tchedy,0.0
tcheey,0.0
tcheo,0.0
tcheody,0.0
tcheol,0.0
tcheor,0.0
tchey,0.08315655620887746
tcho,0.0
tchody,0.0
tchol,0.0
tchols,0.0
tchor,0.0
tchos,0.0
tchy,0.0
tedaiin,0.0
tedain,0.0
tedo,0.0
tedy,0.0
teedar,0.0
teedy,0.0
teeedy,0.0
teeody,0.0
teeol,0.0
teey,0.0
teodar,0.0
teody,0.0
teol,0.0
teor,0.0
tey,0.0
tod,0.0
todaiin,0.0
tody,0.0
tol,0.0
toly,0.0
tor,0.0
totol,0.0
tshdy,0.0
tshedy,0.0
tshey,0.0
tsho,0.0
tshol,0.0
tshor,0.0
tshy,0.0
ty,0.0
xar,0.0
ychdy,0.0
ychear,0.0
ychedy,0.0
ycheedy,0.0
ycheey,0.0
ycheo,0.0
ychey,0.0
ycho,0.0
ydaiin,0.0
ydain,0.0
ydal,0.0
ydy,0.0
yfchey,0.0
yfolaiin,0.0
yk,0.0
ykaiin,0.07637991479248862
ykain,0.0
ykair,0.0
ykal,0.09270769584399292
ykaly,0.0
ykar,0.0
ykchdy,0.0
ykchedy,0.0
ykchey,0.0
ykcho,0.0
ykchody,0.0
ykchol,0.0
ykchor,0.0
ykchs,0.0
ykchy,0.0
ykedy,0.0
ykeechy,0.0
ykeedy,0.0
ykeeedy,0.0
ykeeey,0.0
ykeeo,0.0
ykeeod,0.0
ykeeody,0.0
ykeeol,0.0
ykeeos,0.0
ykees,0.0
ykeeshy,0.0
ykeey,0.0
ykeo,0.0
ykeody,0.0
ykeol,0.0
ykeols,0.0
ykeor,0.0
ykeos,0.0
ykey,0.0
ykhey,0.0
ykoaiin,0.0
ykody,0.0
ykoiin,0.0
ykol,0.0
ykor,0.0
yky,0.0
yl,0.0
ylkaiin,0.0
yly,0.0
ypair,0.0
ypar,0.0
ypchdy,0.0
ypchedy,0.0
ypchey,0.0
ypchol,0.0
ypchor,0.0
ypchy,0.0
ysaiin,0.0
yshedy,0.0
yshey,0.0
ysho,0.0
ytaiin,0.0
ytain,0.0
ytair,0.0
ytal,0.0
ytaly,0.0
ytam,0.0
ytar,0.0
ytchdy,0.0
ytchedy,0.0
ytchey,0.0
ytchody,0.0
ytchol,0.0
ytchor,0.0
ytchy,0.0
ytedar,0.0
ytedy,0.0
yteedy,0.0
yteeey,0.0
yteeody,0.0
yteey,0.0
yteody,0.0
yteol,0.0
yteor,0.0
yteos,0.0
ytey,0.0
yto,0.0
ytody,0.0
ytoiin,0.0
ytol,0.0
ytoldy,0.0
ytor,0.0
ytshy,0.0
yty,0.0
